total_epoch: 150, batch_size: 4, initial_lr: 0.0001, drop_lr: 0.5, drop_lr_per_epoch: 30.0
epoch 115, total loss 1.0208, train acc 0.67391, train_AUC 0.84303, train_F1: 0.54545
epoch 116, total loss 0.92446, train acc 0.70652, train_AUC 0.82199, train_F1: 0.59701
epoch 117, total loss 0.99021, train acc 0.71739, train_AUC 0.8156, train_F1: 0.59375
epoch 118, total loss 1.0509, train acc 0.72826, train_AUC 0.8227, train_F1: 0.65753
epoch 119, total loss 0.97625, train acc 0.68478, train_AUC 0.83499, train_F1: 0.53968
epoch 120, total loss 1.0262, train acc 0.73913, train_AUC 0.83688, train_F1: 0.63636
epoch 121, total loss 1.0419, train acc 0.72826, train_AUC 0.81844, train_F1: 0.62687
epoch 122, total loss 1.1162, train acc 0.63043, train_AUC 0.7448, train_F1: 0.43333
epoch 123, total loss 1.2283, train acc 0.67391, train_AUC 0.78828, train_F1: 0.57143
epoch 124, total loss 1.2944, train acc 0.65217, train_AUC 0.76879, train_F1: 0.54286
epoch 125, total loss 1.0085, train acc 0.68478, train_AUC 0.78403, train_F1: 0.53968
epoch 126, total loss 1.0394, train acc 0.73913, train_AUC 0.82254, train_F1: 0.64706
epoch 127, total loss 0.94773, train acc 0.77174, train_AUC 0.86099, train_F1: 0.69565
epoch 128, total loss 0.99082, train acc 0.73913, train_AUC 0.84074, train_F1: 0.65714
epoch 129, total loss 1.0614, train acc 0.77174, train_AUC 0.8379, train_F1: 0.70423
epoch 130, total loss 1.1142, train acc 0.6413, train_AUC 0.77599, train_F1: 0.49231
epoch 131, total loss 1.0704, train acc 0.75, train_AUC 0.81711, train_F1: 0.68493
epoch 132, total loss 0.88925, train acc 0.77174, train_AUC 0.86052, train_F1: 0.70423
epoch 133, total loss 0.92861, train acc 0.69565, train_AUC 0.8331, train_F1: 0.5625
epoch 134, total loss 0.8871, train acc 0.80435, train_AUC 0.85917, train_F1: 0.76316
epoch 135, total loss 1.1927, train acc 0.67391, train_AUC 0.78267, train_F1: 0.53125
epoch 136, total loss 1.0703, train acc 0.78261, train_AUC 0.84492, train_F1: 0.72222
epoch 137, total loss 1.0661, train acc 0.70652, train_AUC 0.84019, train_F1: 0.58462
epoch 138, total loss 0.95042, train acc 0.72826, train_AUC 0.83215, train_F1: 0.63768
epoch 139, total loss 0.88806, train acc 0.68478, train_AUC 0.8275, train_F1: 0.53968
epoch 140, total loss 0.93935, train acc 0.65217, train_AUC 0.80529, train_F1: 0.48387
epoch 141, total loss 1.0559, train acc 0.73913, train_AUC 0.82411, train_F1: 0.64706
epoch 142, total loss 0.9686, train acc 0.72826, train_AUC 0.84712, train_F1: 0.62687
epoch 143, total loss 1.0744, train acc 0.63043, train_AUC 0.74031, train_F1: 0.43333
epoch 144, total loss 0.96834, train acc 0.69565, train_AUC 0.8747, train_F1: 0.54839
epoch 145, total loss 1.101, train acc 0.72826, train_AUC 0.77505, train_F1: 0.64789
epoch 146, total loss 0.92928, train acc 0.72826, train_AUC 0.87004, train_F1: 0.62687
epoch 147, total loss 1.003, train acc 0.75, train_AUC 0.84066, train_F1: 0.69333
epoch 148, total loss 0.98615, train acc 0.71739, train_AUC 0.81371, train_F1: 0.59375
epoch 149, total loss 1.0675, train acc 0.68478, train_AUC 0.84326, train_F1: 0.55385
epoch 150, total loss 1.0958, train acc 0.76087, train_AUC 0.84138, train_F1: 0.68571
