total_epoch: 150, batch_size: 4, initial_lr: 0.0001, drop_lr: 0.5, drop_lr_per_epoch: 30.0
epoch 102, total loss 1.1664, train acc 0.75, train_AUC 0.84113, train_F1: 0.68493
epoch 103, total loss 0.96454, train acc 0.77174, train_AUC 0.84823, train_F1: 0.70423
epoch 104, total loss 1.0746, train acc 0.77174, train_AUC 0.85414, train_F1: 0.71233
epoch 105, total loss 1.1255, train acc 0.75, train_AUC 0.80898, train_F1: 0.68493
epoch 106, total loss 1.099, train acc 0.78261, train_AUC 0.88233, train_F1: 0.72973
epoch 107, total loss 1.1081, train acc 0.69565, train_AUC 0.8242, train_F1: 0.6
epoch 108, total loss 1.0385, train acc 0.69565, train_AUC 0.82254, train_F1: 0.6
epoch 109, total loss 0.9331, train acc 0.75, train_AUC 0.84239, train_F1: 0.66667
epoch 110, total loss 1.0712, train acc 0.66304, train_AUC 0.83507, train_F1: 0.52308
epoch 111, total loss 1.179, train acc 0.75, train_AUC 0.82837, train_F1: 0.67606
epoch 112, total loss 0.97561, train acc 0.67391, train_AUC 0.82798, train_F1: 0.54545
epoch 113, total loss 1.2508, train acc 0.69565, train_AUC 0.78663, train_F1: 0.62162
epoch 114, total loss 1.3521, train acc 0.6413, train_AUC 0.75863, train_F1: 0.52174
epoch 115, total loss 1.0511, train acc 0.75, train_AUC 0.86484, train_F1: 0.67606
epoch 116, total loss 1.1812, train acc 0.71739, train_AUC 0.81711, train_F1: 0.61765
epoch 117, total loss 0.9488, train acc 0.71739, train_AUC 0.82175, train_F1: 0.59375
epoch 118, total loss 1.1315, train acc 0.70652, train_AUC 0.77865, train_F1: 0.63014
epoch 119, total loss 1.0215, train acc 0.78261, train_AUC 0.86508, train_F1: 0.73684
epoch 120, total loss 1.0704, train acc 0.69565, train_AUC 0.81049, train_F1: 0.6
epoch 121, total loss 1.0664, train acc 0.68478, train_AUC 0.86005, train_F1: 0.57971
epoch 122, total loss 1.1389, train acc 0.76087, train_AUC 0.81986, train_F1: 0.71053
epoch 123, total loss 0.89698, train acc 0.78261, train_AUC 0.89622, train_F1: 0.72222
epoch 124, total loss 1.1998, train acc 0.72826, train_AUC 0.83902, train_F1: 0.60317
epoch 125, total loss 0.86144, train acc 0.75, train_AUC 0.85887, train_F1: 0.67606
epoch 126, total loss 1.0978, train acc 0.71739, train_AUC 0.82979, train_F1: 0.61765
epoch 127, total loss 0.98505, train acc 0.70652, train_AUC 0.82648, train_F1: 0.58462
epoch 128, total loss 1.0515, train acc 0.72826, train_AUC 0.85957, train_F1: 0.66667
epoch 129, total loss 1.0049, train acc 0.71739, train_AUC 0.81049, train_F1: 0.61765
epoch 130, total loss 0.8666, train acc 0.76087, train_AUC 0.89527, train_F1: 0.68571
epoch 131, total loss 1.0768, train acc 0.72826, train_AUC 0.83168, train_F1: 0.64789
epoch 132, total loss 1.0952, train acc 0.68478, train_AUC 0.75319, train_F1: 0.52459
epoch 133, total loss 1.0711, train acc 0.68478, train_AUC 0.80567, train_F1: 0.59155
epoch 134, total loss 0.95416, train acc 0.77174, train_AUC 0.85437, train_F1: 0.69565
epoch 135, total loss 0.91958, train acc 0.72826, train_AUC 0.86998, train_F1: 0.61538
epoch 136, total loss 1.1087, train acc 0.69565, train_AUC 0.75745, train_F1: 0.5625
epoch 137, total loss 1.0397, train acc 0.79348, train_AUC 0.86974, train_F1: 0.73239
epoch 138, total loss 1.0472, train acc 0.69565, train_AUC 0.8331, train_F1: 0.54839
epoch 139, total loss 1.0598, train acc 0.71739, train_AUC 0.78605, train_F1: 0.61765
epoch 140, total loss 0.89571, train acc 0.76087, train_AUC 0.86856, train_F1: 0.67647
epoch 141, total loss 1.1065, train acc 0.77174, train_AUC 0.83759, train_F1: 0.68657
epoch 142, total loss 1.0038, train acc 0.72826, train_AUC 0.85515, train_F1: 0.65753
epoch 143, total loss 0.94444, train acc 0.70652, train_AUC 0.82766, train_F1: 0.57143
epoch 144, total loss 1.1987, train acc 0.69565, train_AUC 0.8, train_F1: 0.61111
epoch 145, total loss 1.1507, train acc 0.75, train_AUC 0.80544, train_F1: 0.66667
epoch 146, total loss 1.083, train acc 0.71739, train_AUC 0.85366, train_F1: 0.62857
epoch 147, total loss 0.85985, train acc 0.70652, train_AUC 0.85539, train_F1: 0.59701
epoch 148, total loss 1.1314, train acc 0.68478, train_AUC 0.80615, train_F1: 0.57971
epoch 149, total loss 1.0625, train acc 0.77174, train_AUC 0.84846, train_F1: 0.69565
epoch 150, total loss 0.95913, train acc 0.67391, train_AUC 0.76359, train_F1: 0.5
