total_epoch: 150, batch_size: 4, initial_lr: 0.0001, drop_lr: 0.5, drop_lr_per_epoch: 30.0
epoch 34, total loss 1.7345, train acc 0.72826, train_AUC 0.8156, train_F1: 0.61538
epoch 35, total loss 1.5922, train acc 0.66304, train_AUC 0.7669, train_F1: 0.52308
epoch 36, total loss 1.5576, train acc 0.79348, train_AUC 0.85535, train_F1: 0.73239
epoch 37, total loss 1.5195, train acc 0.69565, train_AUC 0.81994, train_F1: 0.61111
epoch 38, total loss 1.4081, train acc 0.80435, train_AUC 0.9234, train_F1: 0.75
epoch 39, total loss 1.5818, train acc 0.63043, train_AUC 0.75674, train_F1: 0.46875
epoch 40, total loss 1.5866, train acc 0.66304, train_AUC 0.80492, train_F1: 0.55072
epoch 41, total loss 1.5961, train acc 0.70652, train_AUC 0.75874, train_F1: 0.6087
epoch 42, total loss 1.6659, train acc 0.72826, train_AUC 0.80729, train_F1: 0.63768
epoch 43, total loss 1.2185, train acc 0.75, train_AUC 0.8591, train_F1: 0.66667
epoch 44, total loss 1.4922, train acc 0.73913, train_AUC 0.84539, train_F1: 0.65714
epoch 45, total loss 1.3502, train acc 0.66304, train_AUC 0.79622, train_F1: 0.55072
epoch 46, total loss 1.1695, train acc 0.83696, train_AUC 0.8828, train_F1: 0.81928
epoch 47, total loss 1.2395, train acc 0.72826, train_AUC 0.82435, train_F1: 0.64789
epoch 48, total loss 1.3657, train acc 0.67391, train_AUC 0.78227, train_F1: 0.57143
epoch 49, total loss 1.3301, train acc 0.66304, train_AUC 0.82089, train_F1: 0.56338
epoch 50, total loss 1.356, train acc 0.70652, train_AUC 0.81702, train_F1: 0.6087
epoch 51, total loss 1.6418, train acc 0.65217, train_AUC 0.73286, train_F1: 0.54286
epoch 52, total loss 1.1425, train acc 0.67391, train_AUC 0.78663, train_F1: 0.53125
epoch 53, total loss 1.4458, train acc 0.66304, train_AUC 0.75556, train_F1: 0.50794
epoch 54, total loss 1.3676, train acc 0.68478, train_AUC 0.78487, train_F1: 0.59155
epoch 55, total loss 1.0908, train acc 0.71739, train_AUC 0.83996, train_F1: 0.58065
epoch 56, total loss 1.2987, train acc 0.70652, train_AUC 0.8435, train_F1: 0.57143
epoch 57, total loss 1.3733, train acc 0.65217, train_AUC 0.72779, train_F1: 0.52941
epoch 58, total loss 1.2482, train acc 0.71739, train_AUC 0.8608, train_F1: 0.60606
epoch 59, total loss 1.0461, train acc 0.68478, train_AUC 0.83097, train_F1: 0.55385
epoch 60, total loss 1.1552, train acc 0.70652, train_AUC 0.80804, train_F1: 0.61972
epoch 61, total loss 1.1955, train acc 0.71739, train_AUC 0.83381, train_F1: 0.59375
epoch 62, total loss 1.5496, train acc 0.66304, train_AUC 0.79395, train_F1: 0.52308
epoch 63, total loss 1.2459, train acc 0.66304, train_AUC 0.80104, train_F1: 0.53731
epoch 64, total loss 1.1606, train acc 0.71739, train_AUC 0.82553, train_F1: 0.61765
epoch 65, total loss 1.0546, train acc 0.71739, train_AUC 0.8591, train_F1: 0.61765
epoch 66, total loss 1.1412, train acc 0.81522, train_AUC 0.86248, train_F1: 0.78481
epoch 67, total loss 1.1765, train acc 0.63043, train_AUC 0.80993, train_F1: 0.46875
epoch 68, total loss 1.2034, train acc 0.66304, train_AUC 0.7893, train_F1: 0.45614
epoch 69, total loss 1.085, train acc 0.65217, train_AUC 0.80198, train_F1: 0.51515
epoch 70, total loss 0.9727, train acc 0.73913, train_AUC 0.85208, train_F1: 0.64706
epoch 71, total loss 1.327, train acc 0.72826, train_AUC 0.81749, train_F1: 0.62687
epoch 72, total loss 1.0964, train acc 0.78261, train_AUC 0.86099, train_F1: 0.72973
epoch 73, total loss 1.3536, train acc 0.72826, train_AUC 0.77883, train_F1: 0.67532
epoch 74, total loss 1.0406, train acc 0.70652, train_AUC 0.81498, train_F1: 0.58462
epoch 75, total loss 1.2992, train acc 0.78261, train_AUC 0.84444, train_F1: 0.72222
epoch 76, total loss 1.1261, train acc 0.72826, train_AUC 0.82459, train_F1: 0.65753
epoch 77, total loss 0.99144, train acc 0.77174, train_AUC 0.89078, train_F1: 0.69565
epoch 78, total loss 1.0522, train acc 0.76087, train_AUC 0.85985, train_F1: 0.67647
epoch 79, total loss 1.2827, train acc 0.71739, train_AUC 0.84683, train_F1: 0.61765
epoch 80, total loss 1.1937, train acc 0.67391, train_AUC 0.78119, train_F1: 0.54545
epoch 81, total loss 1.1979, train acc 0.71739, train_AUC 0.78061, train_F1: 0.61765
epoch 82, total loss 0.90401, train acc 0.75, train_AUC 0.88043, train_F1: 0.67606
epoch 83, total loss 0.99624, train acc 0.76087, train_AUC 0.90638, train_F1: 0.67647
epoch 84, total loss 0.95867, train acc 0.79348, train_AUC 0.89036, train_F1: 0.74667
epoch 85, total loss 0.99875, train acc 0.72826, train_AUC 0.85822, train_F1: 0.63768
epoch 86, total loss 1.1579, train acc 0.70652, train_AUC 0.82467, train_F1: 0.6087
epoch 87, total loss 1.0989, train acc 0.70652, train_AUC 0.81984, train_F1: 0.58462
epoch 88, total loss 1.2876, train acc 0.61957, train_AUC 0.74657, train_F1: 0.40678
epoch 89, total loss 0.93785, train acc 0.72826, train_AUC 0.86383, train_F1: 0.62687
epoch 90, total loss 1.1064, train acc 0.66304, train_AUC 0.85579, train_F1: 0.4918
epoch 91, total loss 1.1199, train acc 0.78261, train_AUC 0.83223, train_F1: 0.73684
epoch 92, total loss 0.91025, train acc 0.71739, train_AUC 0.84019, train_F1: 0.59375
epoch 93, total loss 1.282, train acc 0.59783, train_AUC 0.71456, train_F1: 0.4127
epoch 94, total loss 0.95561, train acc 0.78261, train_AUC 0.84492, train_F1: 0.71429
epoch 95, total loss 0.98112, train acc 0.70652, train_AUC 0.85768, train_F1: 0.59701
epoch 96, total loss 0.97044, train acc 0.81522, train_AUC 0.89551, train_F1: 0.76712
epoch 97, total loss 1.2861, train acc 0.6087, train_AUC 0.73853, train_F1: 0.41935
epoch 98, total loss 0.99399, train acc 0.75, train_AUC 0.82388, train_F1: 0.66667
epoch 99, total loss 1.2463, train acc 0.66304, train_AUC 0.76998, train_F1: 0.52308
epoch 100, total loss 1.1324, train acc 0.71739, train_AUC 0.77494, train_F1: 0.64865
epoch 101, total loss 1.1471, train acc 0.68478, train_AUC 0.79125, train_F1: 0.53968
epoch 102, total loss 1.0013, train acc 0.72826, train_AUC 0.81087, train_F1: 0.61538
epoch 103, total loss 0.98127, train acc 0.66304, train_AUC 0.79196, train_F1: 0.4918
epoch 104, total loss 1.0036, train acc 0.72826, train_AUC 0.85681, train_F1: 0.63768
epoch 105, total loss 0.92855, train acc 0.68478, train_AUC 0.80766, train_F1: 0.56716
epoch 106, total loss 1.1244, train acc 0.6413, train_AUC 0.74575, train_F1: 0.50746
epoch 107, total loss 1.1382, train acc 0.71739, train_AUC 0.81569, train_F1: 0.62857
epoch 108, total loss 0.89901, train acc 0.76087, train_AUC 0.89598, train_F1: 0.69444
epoch 109, total loss 0.92166, train acc 0.76087, train_AUC 0.86478, train_F1: 0.67647
epoch 110, total loss 1.2179, train acc 0.65217, train_AUC 0.71975, train_F1: 0.48387
epoch 111, total loss 1.1223, train acc 0.73913, train_AUC 0.80824, train_F1: 0.66667
epoch 112, total loss 1.1391, train acc 0.69565, train_AUC 0.78392, train_F1: 0.57576
epoch 113, total loss 1.0627, train acc 0.70652, train_AUC 0.82695, train_F1: 0.61972
epoch 114, total loss 1.0771, train acc 0.70652, train_AUC 0.79953, train_F1: 0.61972
epoch 115, total loss 0.82263, train acc 0.78261, train_AUC 0.89125, train_F1: 0.71429
epoch 116, total loss 1.0628, train acc 0.75, train_AUC 0.81986, train_F1: 0.67606
epoch 117, total loss 0.92166, train acc 0.77174, train_AUC 0.89083, train_F1: 0.70423
epoch 118, total loss 0.94215, train acc 0.69565, train_AUC 0.82742, train_F1: 0.58824
epoch 119, total loss 0.91062, train acc 0.79348, train_AUC 0.86648, train_F1: 0.73239
epoch 120, total loss 0.9542, train acc 0.76087, train_AUC 0.82987, train_F1: 0.7027
epoch 121, total loss 0.90034, train acc 0.78261, train_AUC 0.88771, train_F1: 0.72222
epoch 122, total loss 1.0023, train acc 0.76087, train_AUC 0.84924, train_F1: 0.68571
epoch 123, total loss 1.0514, train acc 0.75, train_AUC 0.84492, train_F1: 0.69333
epoch 124, total loss 0.98333, train acc 0.69565, train_AUC 0.83546, train_F1: 0.54839
epoch 125, total loss 1.1847, train acc 0.66304, train_AUC 0.77258, train_F1: 0.53731
epoch 126, total loss 1.0527, train acc 0.71739, train_AUC 0.8208, train_F1: 0.60606
epoch 127, total loss 0.96143, train acc 0.71739, train_AUC 0.84877, train_F1: 0.62857
epoch 128, total loss 0.89465, train acc 0.72826, train_AUC 0.8457, train_F1: 0.63768
epoch 129, total loss 1.0333, train acc 0.71739, train_AUC 0.81206, train_F1: 0.60606
epoch 130, total loss 1.2129, train acc 0.65217, train_AUC 0.7617, train_F1: 0.48387
epoch 131, total loss 1.0762, train acc 0.67391, train_AUC 0.80686, train_F1: 0.55882
epoch 132, total loss 0.97976, train acc 0.71739, train_AUC 0.84374, train_F1: 0.61765
epoch 133, total loss 0.9819, train acc 0.71739, train_AUC 0.85887, train_F1: 0.62857
epoch 134, total loss 1.0438, train acc 0.6413, train_AUC 0.73806, train_F1: 0.45902
epoch 135, total loss 0.97538, train acc 0.75, train_AUC 0.84121, train_F1: 0.68493
epoch 136, total loss 1.0254, train acc 0.69565, train_AUC 0.84113, train_F1: 0.58824
epoch 137, total loss 1.1079, train acc 0.63043, train_AUC 0.70071, train_F1: 0.45161
epoch 138, total loss 0.87289, train acc 0.76087, train_AUC 0.89976, train_F1: 0.67647
epoch 139, total loss 0.93538, train acc 0.75, train_AUC 0.85444, train_F1: 0.67606
epoch 140, total loss 1.0377, train acc 0.68478, train_AUC 0.78109, train_F1: 0.56716
epoch 141, total loss 0.96286, train acc 0.75, train_AUC 0.85893, train_F1: 0.67606
epoch 142, total loss 1.0234, train acc 0.72826, train_AUC 0.85653, train_F1: 0.61538
epoch 143, total loss 1.1046, train acc 0.69565, train_AUC 0.78794, train_F1: 0.58824
epoch 144, total loss 0.85905, train acc 0.78261, train_AUC 0.9052, train_F1: 0.72222
epoch 145, total loss 0.89324, train acc 0.76087, train_AUC 0.85319, train_F1: 0.69444
epoch 146, total loss 0.86676, train acc 0.68478, train_AUC 0.81498, train_F1: 0.53968
epoch 147, total loss 1.138, train acc 0.66304, train_AUC 0.79348, train_F1: 0.55072
epoch 148, total loss 1.0364, train acc 0.66304, train_AUC 0.78889, train_F1: 0.55072
epoch 149, total loss 0.92245, train acc 0.70652, train_AUC 0.85491, train_F1: 0.59701
epoch 150, total loss 0.92825, train acc 0.70652, train_AUC 0.86099, train_F1: 0.57143
